Activity	نشاط
Nonauthor_registration_fee	رسوم التسجيل من غير الكاتب
Memeber_registration_fee	رسوم التسجيل للعضو
Nonmember_registration_fee	رسوم التسجيل لغير عضو
Student_registration_fee	رسوم التسجيل للطالب
Author_attendee_book_registration_fee	رسوم التسجيل مدفوعة من قبل الكاتب الحاضر من اجل استلام محضر الابحاث على شكل كتاب
Author_attendee_cd_registration_fee	رسوم التسجيل مدفوعة من قبل الكاتب الحاضر مقابل استلام محضر الابحاث على شكل قرص
Research	النشاط البحثي
Review	مراجعة
Reviewer	المراجع
send	يرسل
Session	جلسة
Session_chair	رئيس الجلسة
Session_room	غرفة الجلسة
Shuttle_bus	حافلات مكوكية
sign	يوقع
Single_hotel_room	غرف الفندق المفردة
Social_program	النشاط الاجتماعي
Speaker	المتحدث
Plenary_lecture_speaker	المتحدث إعطاء محاضرة أمام الكنيست
Tutorial_speaker	المتحدث الذي يقدم البرنامج التعليمي
speak_in	يتحدث في وقت أو في مكان
Sponsor	الراعي
Sponzorship	الرعاية
State	الدولة
Presenter_state	دولة المقدم
Sponsor_state	الدولة الراعي
Conference_state	الدولة حيث ينعقد المؤتمر
Student_lecturer	طالب المحاضر
Student_non_speaker	طالب  غير متحدث
Submission	الارسال
Tax	الضرائب
Taxi	سيارات الأجرة
Technic_activity	النشاط الفني
Technical_commitee	اللجنة التقنية
Time	الساعة
Time_zone	منطقة زمنية
Tip	غيض
done_till	يتعين القيام به حتى
Transport_vehicle	مركبة النقل
Tutorial	البرنامج التعليمي
Presenter_university	جامعة المقدم
Value_added_tax	قيمة المضافة للضرائب
Van	شاحنة صغيرة
Video_cassette_player	مشغل شريط فيديو 
Video_presentation	 الفيديوعرض التقديمي
Viza	تأشيرة
Welcome_address	كلمة ترحيبية
Worker_lecturer	العامل المحاضر
Worker_non_speaker	العامل الغير المتحدث
write	يكتب
