conference#Conference_document	 	 	conference#has_authors -> conference#Person, conference#contributes -> conference#Person	conference#has_a_date_of_issue -> conference#date	edas#Conference	 	 	edas#isMemberOf -> edas#Person, edas#hasMember -> edas#Person, edas#hasRelatedDocument -> edas#Document, edas#relatesTo -> edas#Document	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.575
conference#Conference_document	 	conference#Conference_announcement, conference#Conference_contribution, conference#Information_for_participants, conference#Conference_www	conference#has_authors -> conference#Person, conference#contributes -> conference#Person	conference#has_a_date_of_issue -> conference#date	edas#ConferenceEvent	 	edas#AcademicEvent, edas#NonAcademicEvent	edas#attendeeAt -> edas#Person, edas#hasAttendee -> edas#Person, edas#hasProgramme -> edas#Programme, edas#belongsToEvent -> edas#Programme	edas#hasStartDateTime -> edas#dateTime, edas#hasEndDateTime -> edas#dateTime	1.574
cmt#Chairman	cmt#Chairman -> cmt#Person	 	cmt#markConflictOfInterest -> cmt#Paper	 	sigkdd#Speaker	sigkdd#Speaker -> sigkdd#Person	 	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document	 	1.565
iasted#Building	iasted#Building -> iasted#Place	 	iasted#occupy -> iasted#Person, iasted#is_occupied_by -> iasted#Person, iasted#is_visited_by -> iasted#Person, iasted#is_situated_in -> iasted#City, iasted#is_situated_in -> iasted#State	 	sigkdd#Hotel	sigkdd#Hotel -> sigkdd#Place	 	sigkdd#can_stay_in -> sigkdd#Person	 	1.547
cmt#Conference	 	 	cmt#hasConferenceMember -> cmt#ConferenceMember, cmt#memberOfConference -> cmt#ConferenceMember	cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date	conference#Conference_volume	conference#Conference_volume -> conference#Conference	 	conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution	conference#has_a_location -> conference#string	1.541
iasted#Hotel_room	iasted#Hotel_room -> iasted#Place	 	iasted#is_designed_for -> iasted#Hotel_presenter, iasted#is_situated_in -> iasted#Conference_hotel	 	sigkdd#Hotel	sigkdd#Hotel -> sigkdd#Place	 	sigkdd#can_stay_in -> sigkdd#Person	 	1.52
iasted#Memeber_registration_fee	iasted#Memeber_registration_fee -> iasted#Registration_fee -> iasted#Fee -> iasted#Money	 	iasted#is_designed_for -> iasted#IASTED_member	 	sigkdd#Registration_fee	sigkdd#Registration_fee -> sigkdd#Fee	 	sigkdd#payed_by -> sigkdd#Person, sigkdd#pay -> sigkdd#Person	sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.518
conference#Paper	conference#Paper -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	 	conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract	 	ekaw#Paper	ekaw#Paper -> ekaw#Document	 	ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#presentationOfPaper -> ekaw#Individual_Presentation, ekaw#paperPresentedAs -> ekaw#Individual_Presentation	 	1.515
ekaw#Possible_Reviewer	ekaw#Possible_Reviewer -> ekaw#Person	 	ekaw#reviewWrittenBy -> ekaw#Review, ekaw#hasReviewer -> ekaw#Paper, ekaw#reviewerOfPaper -> ekaw#Paper	 	iasted#Reviewer	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_writen_by -> iasted#Review	 	1.504
cmt#Conference	 	 	cmt#hasConferenceMember -> cmt#ConferenceMember, cmt#memberOfConference -> cmt#ConferenceMember, cmt#paperAssignmentToolsRunBy -> cmt#Administrator	cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date	conference#Conference_part	 	 	conference#has_parts -> conference#Conference_volume, conference#is_part_of_conference_volumes -> conference#Conference_volume, conference#is_a_topis_of_conference_parts -> conference#Topic, conference#has_a_track-workshop-tutorial_topic -> conference#Topic	conference#has_a_name -> conference#string	1.498
conference#Conference_volume	conference#Conference_volume -> conference#Conference	 	conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution, conference#has_a_commtitee -> conference#Committee, conference#was_a_committee_of -> conference#Committee	conference#has_a_location -> conference#string	ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	1.482
cmt#Reviewer	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	 	cmt#writtenBy -> cmt#Review, cmt#writeReview -> cmt#Review, cmt#assignedByReviewer -> cmt#ExternalReviewer, cmt#assignExternalReviewer -> cmt#ExternalReviewer, cmt#assignReviewer -> cmt#Administrator, cmt#assignedByAdministrator -> cmt#Administrator	 	iasted#Review	iasted#Review -> iasted#Document -> iasted#Item	 	iasted#is_writen_by -> iasted#Reviewer	 	1.478
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	cmt#ConferenceChair, cmt#AssociatedChair, cmt#Reviewer, cmt#Author	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	 	conference#Committee_member	conference#Committee_member -> conference#Person	conference#Chair, conference#Co-chair	conference#was_a_member_of -> conference#Committee, conference#has_members -> conference#Committee	 	1.47
ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	ekaw#Industrial_Session	ekaw#partOfEvent -> ekaw#Conference	 	iasted#Conference_activity	iasted#Conference_activity -> iasted#Activity	iasted#Coffee_break, iasted#Technic_activity, iasted#Presentation, iasted#Registration, iasted#Social_program, iasted#Lecture	iasted#is_held_in -> iasted#Conference_state, iasted#is_held_in -> iasted#Conference_days, iasted#is_paid_for -> iasted#Registration_fee	 	1.468
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	cmt#ConferenceChair, cmt#AssociatedChair, cmt#ProgramCommitteeMember, cmt#Reviewer, cmt#Author	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	 	ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	ekaw#Industrial_Session	ekaw#partOfEvent -> ekaw#Conference	 	1.465
edas#AcceptedPaper	edas#AcceptedPaper -> edas#Paper -> edas#Document	 	edas#relatedToPaper -> edas#PaperPresentation, edas#relatedToEvent -> edas#PaperPresentation	 	ekaw#Paper	ekaw#Paper -> ekaw#Document	 	ekaw#presentationOfPaper -> ekaw#Individual_Presentation, ekaw#paperPresentedAs -> ekaw#Individual_Presentation, ekaw#coversTopic -> ekaw#Research_Topic, ekaw#topicCoveredBy -> ekaw#Research_Topic	 	1.446
edas#ActivePaper	edas#ActivePaper -> edas#Paper -> edas#Document	edas#RatedPapers	 	 	ekaw#Assigned_Paper	ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	ekaw#Evaluated_Paper	 	 	1.446
ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	iasted#Conference_state	iasted#Conference_state -> iasted#State	 	iasted#is_situated_in -> iasted#Conference_building, iasted#is_held_in -> iasted#Conference_activity, iasted#is_situated_in -> iasted#Conference_hotel, iasted#is_situated_in -> iasted#Conference_airport, iasted#is_situated_in -> iasted#Conference_restaurant, iasted#is_visited_by -> iasted#Delegate	 	1.445
confOf#Paper	confOf#Paper -> confOf#Contribution	 	 	 	ekaw#Paper	ekaw#Paper -> ekaw#Document	 	 	 	1.445
cmt#Review	cmt#Review -> cmt#Document	cmt#Meta-Review	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer	 	edas#Paper	edas#Paper -> edas#Document	edas#PublishedPaper, edas#AcceptedPaper, edas#PendingPaper, edas#RejectedPaper, edas#ActivePaper, edas#WithdrawnPaper	edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#Reviewer, edas#isWrittenBy -> edas#Author, edas#hasRelatedPaper -> edas#Author	 	1.443
cmt#Review	cmt#Review -> cmt#Document	 	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair	 	iasted#Reviewer	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_writen_by -> iasted#Review	 	1.441
ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	iasted#Conference_city	iasted#Conference_city -> iasted#City	 	iasted#is_situated_in -> iasted#Conference_building, iasted#is_situated_in -> iasted#Conference_hotel, iasted#is_situated_in -> iasted#Conference_airport, iasted#is_situated_in -> iasted#Conference_restaurant, iasted#is_visited_by -> iasted#Delegate, iasted#is_situated_in -> iasted#Place	 	1.435
edas#Sponsorship	 	edas#TravelGrant	edas#providedBy -> edas#Organization, edas#isProviderOf -> edas#Organization	edas#hasCostAmount -> edas#int, edas#hasCostCurrency -> edas#string	sigkdd#Sponzor	 	sigkdd#Silver_Supporter, sigkdd#Gold_Supporter, sigkdd#Platinum_Supporter, sigkdd#Bronze_Supporter, sigkdd#Exhibitor, sigkdd#Best_Student_Paper_Supporter	sigkdd#search -> sigkdd#ACM_SIGKDD, sigkdd#searched_by -> sigkdd#ACM_SIGKDD	sigkdd#Name_of_sponsor -> sigkdd#string	1.428
cmt#Chairman	cmt#Chairman -> cmt#Person	 	cmt#markConflictOfInterest -> cmt#Paper	 	sigkdd#Author	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	sigkdd#submit -> sigkdd#Paper, sigkdd#obtain -> sigkdd#Award, sigkdd#notification_until -> sigkdd#Deadline_Author_notification	 	1.425
conference#Reviewer	conference#Reviewer -> conference#Person	 	conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise, conference#belongs_to_reviewers -> conference#Review_preference, conference#has_a_review_reference_or_expertise -> conference#Review_preference	 	ekaw#Possible_Reviewer	ekaw#Possible_Reviewer -> ekaw#Person	 	ekaw#reviewWrittenBy -> ekaw#Review	 	1.422
edas#ConferenceChair	edas#ConferenceChair -> edas#Person	 	edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper, edas#initiates -> edas#Call	 	sigkdd#Speaker	sigkdd#Speaker -> sigkdd#Person	 	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document	 	1.419
cmt#Paper	cmt#Paper -> cmt#Document	cmt#PaperAbstract, cmt#PaperFullVersion	cmt#submitPaper -> cmt#Author, cmt#writePaper -> cmt#Author	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	confOf#Contribution	 	confOf#Short_paper, confOf#Paper, confOf#Poster	confOf#writes -> confOf#Author, confOf#writtenBy -> confOf#Author	confOf#abstract -> confOf#string, confOf#hasTitle -> confOf#string, confOf#remark -> confOf#string, confOf#hasKeyword -> confOf#string, confOf#contactEmail -> confOf#string	1.412
edas#GovernmentOrganization	edas#GovernmentOrganization -> edas#Organization	 	 	 	ekaw#Organising_Agency	ekaw#Organising_Agency -> ekaw#Organisation	 	 	 	1.41
ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference	 	iasted#Session_room	iasted#Session_room -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_building, iasted#speak_in -> iasted#Lecturer, iasted#is_held_in -> iasted#Session, iasted#is_situated_in -> iasted#Audiovisual_equipment, iasted#is_equipped_by -> iasted#Audiovisual_equipment, iasted#is_situated_in -> iasted#Record_of_attendance	 	1.408
cmt#Author	cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Author -> cmt#User -> cmt#Person	 	cmt#submitPaper -> cmt#Paper, cmt#writePaper -> cmt#Paper, cmt#hasAuthor -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper	 	sigkdd#Author_of_paper	sigkdd#Author_of_paper -> sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	sigkdd#award -> sigkdd#Best_Applications_Paper_Award, sigkdd#award -> sigkdd#Best_Research_Paper_Award	 	1.405
confOf#Organization	 	 	confOf#hasCountry -> confOf#Country, confOf#employedBy -> confOf#Person, confOf#hasCity -> confOf#City	confOf#hasPostalCode -> confOf#string, confOf#hasStreet -> confOf#string	edas#Conference	 	 	edas#hasCountry -> edas#Country, edas#isMemberOf -> edas#Person, edas#hasMember -> edas#Person	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.405
edas#Paper	edas#Paper -> edas#Document	 	edas#isReviewing -> edas#ConferenceChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#SessionChair, edas#isReviewedBy -> edas#TPCMember, edas#isReviewing -> edas#TPCMember	 	ekaw#Camera_Ready_Paper	ekaw#Camera_Ready_Paper -> ekaw#Paper -> ekaw#Document	 	ekaw#writtenBy -> ekaw#Conference_Participant	 	1.403
edas#ConferenceEvent	 	edas#AcademicEvent, edas#NonAcademicEvent	edas#attendeeAt -> edas#Person, edas#hasLocation -> edas#Place, edas#isLocationOf -> edas#Place	edas#hasStartDateTime -> edas#dateTime, edas#hasEndDateTime -> edas#dateTime	iasted#Activity	 	iasted#Conference_activity, iasted#Activity_after_conference, iasted#Activity_before_conference	iasted#give -> iasted#Person, iasted#is_given_by -> iasted#Person, iasted#is_designed_for -> iasted#Person, iasted#is_connected_with -> iasted#Place, iasted#is_held_in -> iasted#Place	iasted#is_dated_on -> iasted#dateTime	1.402
conference#Conference_volume	conference#Conference_volume -> conference#Conference	 	conference#has_tracks -> conference#Track, conference#has_a_commtitee -> conference#Committee, conference#was_a_committee_of -> conference#Committee	conference#has_a_location -> conference#string	edas#Conference	 	 	edas#hasCountry -> edas#Country, edas#hasRelatedDocument -> edas#Document, edas#relatesTo -> edas#Document	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.401
ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	iasted#Conference_hall	iasted#Conference_hall -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_building, iasted#speak_in -> iasted#Plenary_lecture_speaker, iasted#speak_in -> iasted#Tutorial_speaker	 	1.401
cmt#Meta-Reviewer	cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#User -> cmt#Person	 	cmt#readByMeta-Reviewer -> cmt#Paper	 	ekaw#Possible_Reviewer	ekaw#Possible_Reviewer -> ekaw#Person	 	ekaw#hasReviewer -> ekaw#Paper, ekaw#reviewerOfPaper -> ekaw#Paper, ekaw#reviewWrittenBy -> ekaw#Review	 	1.397
cmt#Co-author	cmt#Co-author -> cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Co-author -> cmt#Author -> cmt#User -> cmt#Person	 	cmt#co-writePaper -> cmt#Paper, cmt#hasCo-author -> cmt#Paper	 	confOf#Author	confOf#Author -> confOf#Person	 	confOf#writes -> confOf#Contribution, confOf#writtenBy -> confOf#Contribution	 	1.397
cmt#Review	cmt#Review -> cmt#Document	 	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer	 	conference#Reviewer	conference#Reviewer -> conference#Person	 	conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise	 	1.397
conference#Conference_volume	conference#Conference_volume -> conference#Conference	 	conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution, conference#has_a_commtitee -> conference#Committee, conference#was_a_committee_of -> conference#Committee	conference#has_a_location -> conference#string	ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference	 	1.392
iasted#Nonauthor_registration_fee	iasted#Nonauthor_registration_fee -> iasted#Registration_fee -> iasted#Fee -> iasted#Money	 	iasted#is_designed_for -> iasted#Non_speaker	 	sigkdd#Registration_fee	sigkdd#Registration_fee -> sigkdd#Fee	 	sigkdd#payed_by -> sigkdd#Person, sigkdd#pay -> sigkdd#Person	sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.39
conference#Reviewer	conference#Reviewer -> conference#Person	 	conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise, conference#belongs_to_reviewers -> conference#Review_preference, conference#has_a_review_reference_or_expertise -> conference#Review_preference	 	iasted#Review	iasted#Review -> iasted#Document -> iasted#Item	 	iasted#is_writen_by -> iasted#Reviewer	 	1.388
ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	iasted#Conference_building	iasted#Conference_building -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_hall, iasted#is_situated_in -> iasted#Session_room, iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Conference_city, iasted#is_occupied_by -> iasted#Delegate	 	1.388
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	cmt#ProgramCommitteeMember, cmt#ConferenceChair, cmt#AssociatedChair	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	 	ekaw#Conference_Participant	ekaw#Conference_Participant -> ekaw#Person	ekaw#PC_Chair, ekaw#Session_Chair, ekaw#OC_Member, ekaw#Workshop_Chair, ekaw#Demo_Chair	ekaw#writtenBy -> ekaw#Camera_Ready_Paper	 	1.388
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	 	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	 	conference#Active_conference_participant	conference#Active_conference_participant -> conference#Conference_contributor -> conference#Person, conference#Active_conference_participant -> conference#Conference_participant -> conference#Person	 	conference#gives_presentations -> conference#Presentation, conference#is_given_by -> conference#Presentation	 	1.388
confOf#Participant	confOf#Participant -> confOf#Person	 	 	confOf#earlyRegistration -> confOf#boolean	edas#Attendee	edas#Attendee -> edas#Person	 	 	 	1.388
conference#Conference_volume	conference#Conference_volume -> conference#Conference	 	conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part	conference#has_a_location -> conference#string	iasted#Conference_city	iasted#Conference_city -> iasted#City	 	iasted#is_situated_in -> iasted#Conference_building, iasted#is_situated_in -> iasted#Conference_hotel, iasted#is_situated_in -> iasted#Conference_restaurant	 	1.387
ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference	 	iasted#Conference_hall	iasted#Conference_hall -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_building, iasted#speak_in -> iasted#Plenary_lecture_speaker, iasted#speak_in -> iasted#Tutorial_speaker	 	1.386
iasted#Deadline_for_notification_of_acceptance	iasted#Deadline_for_notification_of_acceptance -> iasted#Deadline -> iasted#Time	 	iasted#is_sent_after -> iasted#Author_information_form	 	sigkdd#Deadline_Author_notification	sigkdd#Deadline_Author_notification -> sigkdd#Deadline	 	sigkdd#notification_until -> sigkdd#Author	 	1.385
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	cmt#ConferenceChair, cmt#ProgramCommitteeMember, cmt#AssociatedChair	 	 	conference#Conference_participant	conference#Conference_participant -> conference#Person	conference#Active_conference_participant, conference#Passive_conference_participant	 	 	1.384
edas#PublishedPaper	edas#PublishedPaper -> edas#Paper -> edas#Document	 	 	 	ekaw#Submitted_Paper	ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	1.381
cmt#ExternalReviewer	cmt#ExternalReviewer -> cmt#Person	 	cmt#assignedByReviewer -> cmt#Reviewer, cmt#assignExternalReviewer -> cmt#Reviewer	 	conference#Reviewer	conference#Reviewer -> conference#Person	 	conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise	 	1.381
cmt#ExternalReviewer	cmt#ExternalReviewer -> cmt#Person	 	cmt#assignedByReviewer -> cmt#Reviewer, cmt#assignExternalReviewer -> cmt#Reviewer	 	iasted#Reviewer	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_writen_by -> iasted#Review	 	1.381
edas#Paper	edas#Paper -> edas#Document	edas#PublishedPaper, edas#PendingPaper, edas#WithdrawnPaper, edas#ActivePaper, edas#AcceptedPaper, edas#RejectedPaper	 	 	ekaw#Assigned_Paper	ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	ekaw#Evaluated_Paper	 	 	1.38
cmt#Paper	cmt#Paper -> cmt#Document	 	 	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	ekaw#Regular_Paper	ekaw#Regular_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	1.378
ekaw#Regular_Paper	ekaw#Regular_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	sigkdd#Paper	sigkdd#Paper -> sigkdd#Document	 	 	 	1.378
edas#Paper	edas#Paper -> edas#Document	 	 	 	ekaw#Regular_Paper	ekaw#Regular_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	1.378
