Term 1	Term 2	Label	Ancestors 1	Ancestors 2	Children 1	Children 2	Object Property 1 	Object Property 2	Datatype Property 1	Datatype Property 2	Score
ekaw#Paper	sigkdd#Paper	TRUE	ekaw#Paper -> ekaw#Document	sigkdd#Paper -> sigkdd#Document			ekaw#presentationOfPaper -> ekaw#Individual_Presentation, ekaw#coversTopic -> ekaw#Research_Topic, ekaw#paperPresentedAs -> ekaw#Individual_Presentation, ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#hasReviewer -> ekaw#Possible_Reviewer, ekaw#reviewerOfPaper -> ekaw#Possible_Reviewer, ekaw#topicCoveredBy -> ekaw#Research_Topic	sigkdd#submit -> sigkdd#Author			1.842444488
iasted#Speaker	sigkdd#Speaker	TRUE	iasted#Speaker -> iasted#Delegate -> iasted#Person	sigkdd#Speaker -> sigkdd#Person	iasted#Author, iasted#Reviewer	sigkdd#Author, sigkdd#Invited_Speaker	iasted#give -> iasted#Lecture, iasted#is_prepared_by -> iasted#Transparency, iasted#is_used_by -> iasted#Audiovisual_equipment, iasted#write -> iasted#Final_manuscript, iasted#is_writen_by -> iasted#Submission	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document			1.830452837
ekaw#Review	iasted#Review	TRUE	ekaw#Review -> ekaw#Document	iasted#Review -> iasted#Document -> iasted#Item			ekaw#reviewWrittenBy -> ekaw#Possible_Reviewer, ekaw#hasReview -> ekaw#Paper, ekaw#reviewOfPaper -> ekaw#Paper	iasted#is_writen_by -> iasted#Reviewer			1.828863889
iasted#Registration_fee	sigkdd#Registration_fee	TRUE	iasted#Registration_fee -> iasted#Fee -> iasted#Money	sigkdd#Registration_fee -> sigkdd#Fee	iasted#Student_registration_fee, iasted#Memeber_registration_fee, iasted#Nonauthor_registration_fee, iasted#Nonmember_registration_fee, iasted#Author_attendee_cd_registration_fee	sigkdd#Registration_Student, sigkdd#Registration_Non-Member, sigkdd#Registration_SIGMOD_Member, sigkdd#Registration_SIGKDD_Member	iasted#is_paid_for -> iasted#Conference_activity, iasted#is_paid_by -> iasted#Delegate, iasted#pay -> iasted#Delegate	sigkdd#payed_by -> sigkdd#Person, sigkdd#pay -> sigkdd#Person		sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.823334252
conference#Person	edas#Person	TRUE			conference#Committee_member, conference#Conference_participant, conference#Conference_applicant, conference#Conference_contributor, conference#Track-workshop_chair, conference#Reviewer	edas#TPCMember, edas#Attendee, edas#ConferenceChair, edas#SessionChair	conference#has_authors -> conference#Conference_document, conference#contributes -> conference#Conference_document	edas#attendeeAt -> edas#ConferenceEvent, edas#isMemberOf -> edas#Conference, edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasMember -> edas#Conference, edas#hasAttendee -> edas#ConferenceEvent	conference#has_the_first_name -> conference#string, conference#has_an_email -> conference#string, conference#has_the_last_name -> conference#string	edas#hasEmail -> edas#string, edas#hasLastName -> edas#string, edas#hasFirstName -> edas#string, edas#hasBiography -> edas#string	1.813712861
cmt#Reviewer	conference#Reviewer	TRUE	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	conference#Reviewer -> conference#Person			cmt#readByReviewer -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper, cmt#readPaper -> cmt#Paper, cmt#assignReviewer -> cmt#Administrator, cmt#writtenBy -> cmt#Review, cmt#assignedByAdministrator -> cmt#Administrator, cmt#adjustedBy -> cmt#Bid, cmt#assignedTo -> cmt#Paper, cmt#adjustBid -> cmt#Bid, cmt#assignedByReviewer -> cmt#ExternalReviewer, cmt#writeReview -> cmt#Review, cmt#hasBeenAssigned -> cmt#Paper, cmt#assignExternalReviewer -> cmt#ExternalReviewer	conference#belongs_to_reviewers -> conference#Review_preference, conference#has_a_review_reference_or_expertise -> conference#Review_preference, conference#belongs_to_reviewers -> conference#Review_expertise, conference#belongs_to_reviewers -> conference#Review_preference, conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise			1.812895177
cmt#Person	conference#Person	TRUE			cmt#ConferenceMember, cmt#ProgramCommitteeMember, cmt#ExternalReviewer, cmt#User, cmt#Chairman	conference#Conference_participant, conference#Conference_contributor, conference#Committee_member, conference#Conference_applicant, conference#Reviewer, conference#Track-workshop_chair	cmt#hasConflictOfInterest -> cmt#Document	conference#has_authors -> conference#Conference_document, conference#contributes -> conference#Conference_document	cmt#email -> cmt#string, cmt#name -> cmt#string	conference#has_the_first_name -> conference#string, conference#has_an_email -> conference#string, conference#has_the_last_name -> conference#string	1.79336159
cmt#Review	conference#Review	TRUE	cmt#Review -> cmt#Document	conference#Review -> conference#Conference_document			cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair	conference#has_a_review -> conference#Reviewed_contribution, conference#reviews -> conference#Reviewed_contribution			1.74891307
confOf#Author	sigkdd#Author	TRUE	confOf#Author -> confOf#Person	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person			confOf#writes -> confOf#Contribution, confOf#writtenBy -> confOf#Contribution, confOf#writes -> confOf#Contribution	sigkdd#obtain -> sigkdd#Award, sigkdd#submit -> sigkdd#Paper, sigkdd#notification_until -> sigkdd#Deadline_Author_notification, sigkdd#notification_until -> sigkdd#Deadline_Author_notification			1.747345139
confOf#Social_event	ekaw#Social_Event	TRUE	confOf#Social_event -> confOf#Event	ekaw#Social_Event -> ekaw#Event	confOf#Banquet, confOf#Trip, confOf#Reception	ekaw#Conference_Banquet, ekaw#Conference_Trip			confOf#maxChoice -> confOf#positiveInteger, confOf#minChoice -> confOf#positiveInteger, confOf#has_short_title -> confOf#string, confOf#has_title -> confOf#string, confOf#hasVAT -> confOf#string, confOf#defaultChoice -> confOf#positiveInteger, confOf#location -> confOf#string		1.735568889
conference#Reviewer	iasted#Reviewer	TRUE	conference#Reviewer -> conference#Person	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person			conference#belongs_to_reviewers -> conference#Review_preference, conference#has_a_review_reference_or_expertise -> conference#Review_preference, conference#belongs_to_reviewers -> conference#Review_expertise, conference#belongs_to_reviewers -> conference#Review_preference, conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise	iasted#is_writen_by -> iasted#Review			1.723880909
conference#Review	ekaw#Review	TRUE	conference#Review -> conference#Conference_document	ekaw#Review -> ekaw#Document			conference#has_a_review -> conference#Reviewed_contribution, conference#reviews -> conference#Reviewed_contribution	ekaw#reviewWrittenBy -> ekaw#Possible_Reviewer, ekaw#hasReview -> ekaw#Paper, ekaw#reviewOfPaper -> ekaw#Paper			1.702786449
confOf#Person	sigkdd#Person	TRUE			confOf#Participant, confOf#Administrator, confOf#Assistant, confOf#Scholar, confOf#Volunteer, confOf#Author, confOf#Member_PC	sigkdd#Speaker, sigkdd#Listener, sigkdd#Organizator	confOf#hasCountry -> confOf#Country, confOf#hasCity -> confOf#City, confOf#hasCity -> confOf#City, confOf#employedBy -> confOf#Organization, confOf#employedBy -> confOf#Organization	sigkdd#can_stay_in -> sigkdd#Place, sigkdd#payed_by -> sigkdd#Registration_fee, sigkdd#can_stay_in -> sigkdd#Hotel, sigkdd#pay -> sigkdd#Registration_fee	confOf#hasHomePage -> confOf#string, confOf#hasSurname -> confOf#string, confOf#hasEmail -> confOf#string, confOf#hasPhone -> confOf#string, confOf#hasFax -> confOf#string, confOf#hasPostalCode -> confOf#string, confOf#hasFirstName -> confOf#string, confOf#hasStreet -> confOf#string	sigkdd#E-mail -> sigkdd#string, sigkdd#Name -> sigkdd#string, sigkdd#Nation -> sigkdd#string	1.694702654
edas#AcceptedPaper	ekaw#Accepted_Paper	TRUE	edas#AcceptedPaper -> edas#Paper -> edas#Document	ekaw#Accepted_Paper -> ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document			edas#relatedToPaper -> edas#PaperPresentation, edas#relatedToEvent -> edas#PaperPresentation	ekaw#updatedVersionOf -> ekaw#Camera_Ready_Paper, ekaw#hasReview -> ekaw#Positive_Review			1.686678772
conference#Program_committee	sigkdd#Program_Committee	TRUE	conference#Program_committee -> conference#Committee	sigkdd#Program_Committee -> sigkdd#Committee			conference#has_a_program_committee -> conference#Conference_volume, conference#was_a_program_committee_of -> conference#Conference_volume				1.679985489
conference#Review	iasted#Review	TRUE	conference#Review -> conference#Conference_document	iasted#Review -> iasted#Document -> iasted#Item			conference#has_a_review -> conference#Reviewed_contribution, conference#reviews -> conference#Reviewed_contribution	iasted#is_writen_by -> iasted#Reviewer			1.676448939
cmt#Author	confOf#Author	TRUE	cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Author -> cmt#User -> cmt#Person	confOf#Author -> confOf#Person			cmt#submitPaper -> cmt#Paper, cmt#writePaper -> cmt#Paper, cmt#hasAuthor -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper	confOf#writes -> confOf#Contribution, confOf#writtenBy -> confOf#Contribution, confOf#writes -> confOf#Contribution			1.675168121
conference#Organizing_committee	sigkdd#Organizing_Committee	TRUE	conference#Organizing_committee -> conference#Committee	sigkdd#Organizing_Committee -> sigkdd#Committee			conference#was_an_organizing_committee_of -> conference#Conference_volume, conference#has_an_organizing_committee -> conference#Conference_volume				1.672053475
cmt#ProgramCommitteeMember	conference#Committee_member	TRUE	cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	conference#Committee_member -> conference#Person	cmt#ProgramCommitteeChair	conference#Co-chair, conference#Chair	cmt#addProgramCommitteeMember -> cmt#Administrator, cmt#hasProgramCommitteeMember -> cmt#ProgramCommittee, cmt#memberOfProgramCommittee -> cmt#ProgramCommittee, cmt#setMaxPapers -> cmt#Administrator, cmt#addedBy -> cmt#Administrator	conference#was_a_member_of -> conference#Committee, conference#has_members -> conference#Committee	cmt#maxPapers -> cmt#int		1.671456462
confOf#Person	edas#Person	TRUE			confOf#Participant, confOf#Member_PC, confOf#Chair_PC, confOf#Assistant, confOf#Author, confOf#Administrator, confOf#Volunteer, confOf#Scholar	edas#Attendee, edas#TPCMember, edas#ConferenceChair, edas#SessionChair	confOf#hasCountry -> confOf#Country, confOf#hasCity -> confOf#City, confOf#hasCity -> confOf#City, confOf#employedBy -> confOf#Organization, confOf#employedBy -> confOf#Organization	edas#attendeeAt -> edas#ConferenceEvent, edas#isMemberOf -> edas#Conference, edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasMember -> edas#Conference, edas#hasAttendee -> edas#ConferenceEvent	confOf#hasHomePage -> confOf#string, confOf#hasSurname -> confOf#string, confOf#hasEmail -> confOf#string, confOf#hasPhone -> confOf#string, confOf#hasFax -> confOf#string, confOf#hasPostalCode -> confOf#string, confOf#hasFirstName -> confOf#string, confOf#hasStreet -> confOf#string	edas#hasEmail -> edas#string, edas#hasLastName -> edas#string, edas#hasFirstName -> edas#string, edas#hasBiography -> edas#string	1.662923486
cmt#Person	sigkdd#Person	TRUE			cmt#Chairman, cmt#User, cmt#ConferenceMember, cmt#ExternalReviewer, cmt#ProgramCommitteeMember	sigkdd#Speaker, sigkdd#Listener, sigkdd#Organizator	cmt#hasConflictOfInterest -> cmt#Document	sigkdd#can_stay_in -> sigkdd#Place, sigkdd#payed_by -> sigkdd#Registration_fee, sigkdd#can_stay_in -> sigkdd#Hotel, sigkdd#pay -> sigkdd#Registration_fee	cmt#email -> cmt#string, cmt#name -> cmt#string	sigkdd#E-mail -> sigkdd#string, sigkdd#Name -> sigkdd#string, sigkdd#Nation -> sigkdd#string	1.647896663
cmt#Person	confOf#Person	TRUE			cmt#ProgramCommitteeMember, cmt#ConferenceMember, cmt#User, cmt#Chairman	confOf#Member_PC, confOf#Chair_PC, confOf#Participant, confOf#Administrator, confOf#Author, confOf#Scholar, confOf#Assistant	cmt#hasConflictOfInterest -> cmt#Document	confOf#hasCountry -> confOf#Country, confOf#hasCity -> confOf#City, confOf#hasCity -> confOf#City, confOf#employedBy -> confOf#Organization, confOf#employedBy -> confOf#Organization	cmt#email -> cmt#string, cmt#name -> cmt#string	confOf#hasHomePage -> confOf#string, confOf#hasSurname -> confOf#string, confOf#hasEmail -> confOf#string, confOf#hasPhone -> confOf#string, confOf#hasFax -> confOf#string, confOf#hasPostalCode -> confOf#string, confOf#hasFirstName -> confOf#string, confOf#hasStreet -> confOf#string	1.643764495
edas#Person	sigkdd#Person	TRUE			edas#ConferenceChair, edas#Attendee, edas#SessionChair, edas#TPCMember	sigkdd#Speaker, sigkdd#Listener, sigkdd#Organizator	edas#attendeeAt -> edas#ConferenceEvent, edas#isMemberOf -> edas#Conference, edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasMember -> edas#Conference, edas#hasAttendee -> edas#ConferenceEvent	sigkdd#can_stay_in -> sigkdd#Place, sigkdd#payed_by -> sigkdd#Registration_fee, sigkdd#can_stay_in -> sigkdd#Hotel, sigkdd#pay -> sigkdd#Registration_fee	edas#hasEmail -> edas#string, edas#hasLastName -> edas#string, edas#hasFirstName -> edas#string, edas#hasBiography -> edas#string	sigkdd#E-mail -> sigkdd#string, sigkdd#Name -> sigkdd#string, sigkdd#Nation -> sigkdd#string	1.639509139
conference#Abstract	ekaw#Abstract	TRUE	conference#Abstract -> conference#Extended_abstract -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	ekaw#Abstract -> ekaw#Document			conference#is_the_1th_part_of -> conference#Presentation, conference#has_an_abstract -> conference#Poster, conference#has_an_abstract -> conference#Presentation, conference#is_the_1th_part_of -> conference#Poster, conference#is_the_1th_part_of -> conference#Paper, conference#has_an_abstract -> conference#Paper	ekaw#paperPresentedAs -> ekaw#Individual_Presentation, ekaw#presentationOfPaper -> ekaw#Individual_Presentation			1.633625571
iasted#Author	sigkdd#Author	TRUE	iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	iasted#Author_book_proceedings_included, iasted#Lecturer, iasted#Author_cd_proceedings_included, iasted#Plenary_lecture_speaker, iasted#Tutorial_speaker	sigkdd#Author_of_paper, sigkdd#Author_of_paper_student	iasted#give -> iasted#Brief_introduction_for_Session_chair, iasted#prepare -> iasted#Transparency, iasted#is_given_by -> iasted#Brief_introduction_for_Session_chair	sigkdd#obtain -> sigkdd#Award, sigkdd#submit -> sigkdd#Paper, sigkdd#notification_until -> sigkdd#Deadline_Author_notification, sigkdd#notification_until -> sigkdd#Deadline_Author_notification			1.619224716
iasted#Deadline	sigkdd#Deadline	TRUE	iasted#Deadline -> iasted#Time		iasted#Submissions_deadline, iasted#Deadline_for_notification_of_acceptance, iasted#Registation_deadline, iasted#Camera_ready_manuscript_deadline, iasted#Deadline_hotel_reservation	sigkdd#Deadline_Paper_Submission, sigkdd#Deadline_Abstract_Submission, sigkdd#Deadline_Author_notification	iasted#is_designed_for -> iasted#Delegate	sigkdd#designed_by -> sigkdd#ACM_SIGKDD, sigkdd#design -> sigkdd#ACM_SIGKDD, sigkdd#submit_until -> sigkdd#Document, sigkdd#design -> sigkdd#ACM_SIGKDD	iasted#done_till -> iasted#date	sigkdd#Date -> sigkdd#dateTime	1.619179264
conference#Person	confOf#Person	TRUE			conference#Committee_member, conference#Conference_participant, conference#Reviewer, conference#Conference_contributor, conference#Conference_applicant, conference#Track-workshop_chair	confOf#Member_PC, confOf#Participant, confOf#Author, confOf#Scholar, confOf#Chair_PC, confOf#Administrator, confOf#Assistant	conference#has_authors -> conference#Conference_document, conference#contributes -> conference#Conference_document	confOf#hasCountry -> confOf#Country, confOf#hasCity -> confOf#City, confOf#hasCity -> confOf#City, confOf#employedBy -> confOf#Organization, confOf#employedBy -> confOf#Organization	conference#has_the_first_name -> conference#string, conference#has_an_email -> conference#string, conference#has_the_last_name -> conference#string	confOf#hasHomePage -> confOf#string, confOf#hasSurname -> confOf#string, confOf#hasEmail -> confOf#string, confOf#hasPhone -> confOf#string, confOf#hasFax -> confOf#string, confOf#hasPostalCode -> confOf#string, confOf#hasFirstName -> confOf#string, confOf#hasStreet -> confOf#string	1.601358706
cmt#Conference	edas#Conference	TRUE					cmt#paperAssignmentToolsRunBy -> cmt#Administrator, cmt#enterReviewCriteria -> cmt#Administrator, cmt#runPaperAssignmentTools -> cmt#Administrator, cmt#hasConferenceMember -> cmt#ConferenceMember, cmt#enableVirtualMeeting -> cmt#Administrator, cmt#virtualMeetingEnabledBy -> cmt#Administrator, cmt#detailsEnteredBy -> cmt#Administrator, cmt#reviewCriteriaEnteredBy -> cmt#Administrator, cmt#printHardcopyMailingManifests -> cmt#Administrator, cmt#enterConferenceDetails -> cmt#Administrator, cmt#reviewerBiddingStartedBy -> cmt#Administrator, cmt#hardcopyMailingManifestsPrintedBy -> cmt#Administrator, cmt#paperAssignmentFinalizedBy -> cmt#Administrator, cmt#startReviewerBidding -> cmt#Administrator, cmt#finalizePaperAssignment -> cmt#Administrator, cmt#memberOfConference -> cmt#ConferenceMember	edas#hasRelatedDocument -> edas#Document, edas#isMemberOf -> edas#Person, edas#isTopicOf -> edas#Topic, edas#relatesTo -> edas#Document, edas#hasTopic -> edas#Topic, edas#hasMember -> edas#Person, edas#hasCountry -> edas#Country	cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.600705916
