Term 1	Term 2	Label (Arvind)	Label (Harshit)	Label (Vivek)	Ancestors 1	Ancestors 2	Children 1	Children 2	Object Property 1 	Object Property 2	Datatype Property 1	Datatype Property 2	Score
conference#Conference_document	edas#Conference	FALSE	FALSE	FALSE					conference#has_authors -> conference#Person, conference#contributes -> conference#Person	edas#isMemberOf -> edas#Person, edas#hasMember -> edas#Person, edas#hasRelatedDocument -> edas#Document, edas#relatesTo -> edas#Document	conference#has_a_date_of_issue -> conference#date	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.575
conference#Conference_document	edas#ConferenceEvent	FALSE	FALSE	FALSE			conference#Conference_announcement, conference#Conference_contribution, conference#Information_for_participants, conference#Conference_www	edas#AcademicEvent, edas#NonAcademicEvent	conference#has_authors -> conference#Person, conference#contributes -> conference#Person	edas#attendeeAt -> edas#Person, edas#hasAttendee -> edas#Person, edas#hasProgramme -> edas#Programme, edas#belongsToEvent -> edas#Programme	conference#has_a_date_of_issue -> conference#date	edas#hasStartDateTime -> edas#dateTime, edas#hasEndDateTime -> edas#dateTime	1.574
cmt#Chairman	sigkdd#Speaker	FALSE	FALSE	FALSE	cmt#Chairman -> cmt#Person	sigkdd#Speaker -> sigkdd#Person			cmt#markConflictOfInterest -> cmt#Paper	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document			1.565
iasted#Building	sigkdd#Hotel	FALSE	FALSE	FALSE	iasted#Building -> iasted#Place	sigkdd#Hotel -> sigkdd#Place			iasted#occupy -> iasted#Person, iasted#is_occupied_by -> iasted#Person, iasted#is_visited_by -> iasted#Person, iasted#is_situated_in -> iasted#City, iasted#is_situated_in -> iasted#State	sigkdd#can_stay_in -> sigkdd#Person			1.547
cmt#Conference	conference#Conference_volume	FALSE	FALSE	FALSE		conference#Conference_volume -> conference#Conference			cmt#hasConferenceMember -> cmt#ConferenceMember, cmt#memberOfConference -> cmt#ConferenceMember	conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution	cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date	conference#has_a_location -> conference#string	1.541
iasted#Hotel_room	sigkdd#Hotel	FALSE	TRUE	FALSE	iasted#Hotel_room -> iasted#Place	sigkdd#Hotel -> sigkdd#Place			iasted#is_designed_for -> iasted#Hotel_presenter, iasted#is_situated_in -> iasted#Conference_hotel	sigkdd#can_stay_in -> sigkdd#Person			1.52
iasted#Memeber_registration_fee	sigkdd#Registration_fee	FALSE	FALSE	FALSE	iasted#Memeber_registration_fee -> iasted#Registration_fee -> iasted#Fee -> iasted#Money	sigkdd#Registration_fee -> sigkdd#Fee			iasted#is_designed_for -> iasted#IASTED_member	sigkdd#payed_by -> sigkdd#Person, sigkdd#pay -> sigkdd#Person		sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.518
conference#Paper	ekaw#Paper	FALSE	TRUE	FALSE	conference#Paper -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	ekaw#Paper -> ekaw#Document			conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract	ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#presentationOfPaper -> ekaw#Individual_Presentation, ekaw#paperPresentedAs -> ekaw#Individual_Presentation			1.515
ekaw#Possible_Reviewer	iasted#Reviewer	FALSE	FALSE	FALSE	ekaw#Possible_Reviewer -> ekaw#Person	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person			ekaw#reviewWrittenBy -> ekaw#Review, ekaw#hasReviewer -> ekaw#Paper, ekaw#reviewerOfPaper -> ekaw#Paper	iasted#is_writen_by -> iasted#Review			1.504
cmt#Conference	conference#Conference_part	FALSE	FALSE	FALSE					cmt#hasConferenceMember -> cmt#ConferenceMember, cmt#memberOfConference -> cmt#ConferenceMember, cmt#paperAssignmentToolsRunBy -> cmt#Administrator	conference#has_parts -> conference#Conference_volume, conference#is_part_of_conference_volumes -> conference#Conference_volume, conference#is_a_topis_of_conference_parts -> conference#Topic, conference#has_a_track-workshop-tutorial_topic -> conference#Topic	cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date	conference#has_a_name -> conference#string	1.498
conference#Conference_volume	ekaw#Conference	FALSE	FALSE	FALSE	conference#Conference_volume -> conference#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event			conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution, conference#has_a_commtitee -> conference#Committee, conference#was_a_committee_of -> conference#Committee	ekaw#partOfEvent -> ekaw#Conference_Session	conference#has_a_location -> conference#string		1.482
cmt#Reviewer	iasted#Review	FALSE	FALSE	FALSE	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	iasted#Review -> iasted#Document -> iasted#Item			cmt#writtenBy -> cmt#Review, cmt#writeReview -> cmt#Review, cmt#assignedByReviewer -> cmt#ExternalReviewer, cmt#assignExternalReviewer -> cmt#ExternalReviewer, cmt#assignReviewer -> cmt#Administrator, cmt#assignedByAdministrator -> cmt#Administrator	iasted#is_writen_by -> iasted#Reviewer			1.478
cmt#ConferenceMember	conference#Committee_member	FALSE	FALSE	FALSE	cmt#ConferenceMember -> cmt#Person	conference#Committee_member -> conference#Person	cmt#ConferenceChair, cmt#AssociatedChair, cmt#Reviewer, cmt#Author	conference#Chair, conference#Co-chair	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	conference#was_a_member_of -> conference#Committee, conference#has_members -> conference#Committee			1.47
ekaw#Conference_Session	iasted#Conference_activity	FALSE	FALSE	FALSE	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	iasted#Conference_activity -> iasted#Activity	ekaw#Industrial_Session	iasted#Coffee_break, iasted#Technic_activity, iasted#Presentation, iasted#Registration, iasted#Social_program, iasted#Lecture	ekaw#partOfEvent -> ekaw#Conference	iasted#is_held_in -> iasted#Conference_state, iasted#is_held_in -> iasted#Conference_days, iasted#is_paid_for -> iasted#Registration_fee			1.468
cmt#ConferenceMember	ekaw#Conference_Session	FALSE	FALSE	FALSE	cmt#ConferenceMember -> cmt#Person	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	cmt#ConferenceChair, cmt#AssociatedChair, cmt#ProgramCommitteeMember, cmt#Reviewer, cmt#Author	ekaw#Industrial_Session	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	ekaw#partOfEvent -> ekaw#Conference			1.465
edas#AcceptedPaper	ekaw#Paper	FALSE	FALSE	FALSE	edas#AcceptedPaper -> edas#Paper -> edas#Document	ekaw#Paper -> ekaw#Document			edas#relatedToPaper -> edas#PaperPresentation, edas#relatedToEvent -> edas#PaperPresentation	ekaw#presentationOfPaper -> ekaw#Individual_Presentation, ekaw#paperPresentedAs -> ekaw#Individual_Presentation, ekaw#coversTopic -> ekaw#Research_Topic, ekaw#topicCoveredBy -> ekaw#Research_Topic			1.446
edas#ActivePaper	ekaw#Assigned_Paper	FALSE	FALSE	FALSE	edas#ActivePaper -> edas#Paper -> edas#Document	ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	edas#RatedPapers	ekaw#Evaluated_Paper					1.446
ekaw#Conference	iasted#Conference_state	FALSE	FALSE	FALSE	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	iasted#Conference_state -> iasted#State			ekaw#partOfEvent -> ekaw#Conference_Session	iasted#is_situated_in -> iasted#Conference_building, iasted#is_held_in -> iasted#Conference_activity, iasted#is_situated_in -> iasted#Conference_hotel, iasted#is_situated_in -> iasted#Conference_airport, iasted#is_situated_in -> iasted#Conference_restaurant, iasted#is_visited_by -> iasted#Delegate			1.445
confOf#Paper	ekaw#Paper	FALSE	TRUE	FALSE	confOf#Paper -> confOf#Contribution	ekaw#Paper -> ekaw#Document							1.445
cmt#Review	edas#Paper	FALSE	FALSE	FALSE	cmt#Review -> cmt#Document	edas#Paper -> edas#Document	cmt#Meta-Review	edas#PublishedPaper, edas#AcceptedPaper, edas#PendingPaper, edas#RejectedPaper, edas#ActivePaper, edas#WithdrawnPaper	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer	edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#Reviewer, edas#isWrittenBy -> edas#Author, edas#hasRelatedPaper -> edas#Author			1.443
cmt#Review	iasted#Reviewer	FALSE	FALSE	FALSE	cmt#Review -> cmt#Document	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person			cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair	iasted#is_writen_by -> iasted#Review			1.441
ekaw#Conference	iasted#Conference_city	FALSE	FALSE	FALSE	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	iasted#Conference_city -> iasted#City			ekaw#partOfEvent -> ekaw#Conference_Session	iasted#is_situated_in -> iasted#Conference_building, iasted#is_situated_in -> iasted#Conference_hotel, iasted#is_situated_in -> iasted#Conference_airport, iasted#is_situated_in -> iasted#Conference_restaurant, iasted#is_visited_by -> iasted#Delegate, iasted#is_situated_in -> iasted#Place			1.435
edas#Sponsorship	sigkdd#Sponzor	FALSE	FALSE	FALSE			edas#TravelGrant	sigkdd#Silver_Supporter, sigkdd#Gold_Supporter, sigkdd#Platinum_Supporter, sigkdd#Bronze_Supporter, sigkdd#Exhibitor, sigkdd#Best_Student_Paper_Supporter	edas#providedBy -> edas#Organization, edas#isProviderOf -> edas#Organization	sigkdd#search -> sigkdd#ACM_SIGKDD, sigkdd#searched_by -> sigkdd#ACM_SIGKDD	edas#hasCostAmount -> edas#int, edas#hasCostCurrency -> edas#string	sigkdd#Name_of_sponsor -> sigkdd#string	1.428
cmt#Chairman	sigkdd#Author	FALSE	FALSE	FALSE	cmt#Chairman -> cmt#Person	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person			cmt#markConflictOfInterest -> cmt#Paper	sigkdd#submit -> sigkdd#Paper, sigkdd#obtain -> sigkdd#Award, sigkdd#notification_until -> sigkdd#Deadline_Author_notification			1.425
conference#Reviewer	ekaw#Possible_Reviewer	FALSE	FALSE	FALSE	conference#Reviewer -> conference#Person	ekaw#Possible_Reviewer -> ekaw#Person			conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise, conference#belongs_to_reviewers -> conference#Review_preference, conference#has_a_review_reference_or_expertise -> conference#Review_preference	ekaw#reviewWrittenBy -> ekaw#Review			1.422
edas#ConferenceChair	sigkdd#Speaker	FALSE	FALSE	FALSE	edas#ConferenceChair -> edas#Person	sigkdd#Speaker -> sigkdd#Person			edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper, edas#initiates -> edas#Call	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document			1.419
cmt#Paper	confOf#Contribution	FALSE	FALSE	TRUE	cmt#Paper -> cmt#Document		cmt#PaperAbstract, cmt#PaperFullVersion	confOf#Short_paper, confOf#Paper, confOf#Poster	cmt#submitPaper -> cmt#Author, cmt#writePaper -> cmt#Author	confOf#writes -> confOf#Author, confOf#writtenBy -> confOf#Author	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	confOf#abstract -> confOf#string, confOf#hasTitle -> confOf#string, confOf#remark -> confOf#string, confOf#hasKeyword -> confOf#string, confOf#contactEmail -> confOf#string	1.412
edas#GovernmentOrganization	ekaw#Organising_Agency	FALSE	FALSE	FALSE	edas#GovernmentOrganization -> edas#Organization	ekaw#Organising_Agency -> ekaw#Organisation							1.41
ekaw#Conference_Session	iasted#Session_room	FALSE	FALSE	FALSE	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	iasted#Session_room -> iasted#Place			ekaw#partOfEvent -> ekaw#Conference	iasted#is_situated_in -> iasted#Conference_building, iasted#speak_in -> iasted#Lecturer, iasted#is_held_in -> iasted#Session, iasted#is_situated_in -> iasted#Audiovisual_equipment, iasted#is_equipped_by -> iasted#Audiovisual_equipment, iasted#is_situated_in -> iasted#Record_of_attendance			1.408
cmt#Author	sigkdd#Author_of_paper	FALSE	FALSE	FALSE	cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Author -> cmt#User -> cmt#Person	sigkdd#Author_of_paper -> sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person			cmt#submitPaper -> cmt#Paper, cmt#writePaper -> cmt#Paper, cmt#hasAuthor -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper	sigkdd#award -> sigkdd#Best_Applications_Paper_Award, sigkdd#award -> sigkdd#Best_Research_Paper_Award			1.405
confOf#Organization	edas#Conference	FALSE	FALSE	FALSE					confOf#hasCountry -> confOf#Country, confOf#employedBy -> confOf#Person, confOf#hasCity -> confOf#City	edas#hasCountry -> edas#Country, edas#isMemberOf -> edas#Person, edas#hasMember -> edas#Person	confOf#hasPostalCode -> confOf#string, confOf#hasStreet -> confOf#string	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.405
edas#Paper	ekaw#Camera_Ready_Paper	FALSE	FALSE	FALSE	edas#Paper -> edas#Document	ekaw#Camera_Ready_Paper -> ekaw#Paper -> ekaw#Document			edas#isReviewing -> edas#ConferenceChair, edas#isReviewedBy -> edas#ConferenceChair, edas#isReviewedBy -> edas#SessionChair, edas#isReviewing -> edas#SessionChair, edas#isReviewedBy -> edas#TPCMember, edas#isReviewing -> edas#TPCMember	ekaw#writtenBy -> ekaw#Conference_Participant			1.403
edas#ConferenceEvent	iasted#Activity	FALSE	FALSE	FALSE			edas#AcademicEvent, edas#NonAcademicEvent	iasted#Conference_activity, iasted#Activity_after_conference, iasted#Activity_before_conference	edas#attendeeAt -> edas#Person, edas#hasLocation -> edas#Place, edas#isLocationOf -> edas#Place	iasted#give -> iasted#Person, iasted#is_given_by -> iasted#Person, iasted#is_designed_for -> iasted#Person, iasted#is_connected_with -> iasted#Place, iasted#is_held_in -> iasted#Place	edas#hasStartDateTime -> edas#dateTime, edas#hasEndDateTime -> edas#dateTime	iasted#is_dated_on -> iasted#dateTime	1.402
conference#Conference_volume	edas#Conference	FALSE	FALSE	FALSE	conference#Conference_volume -> conference#Conference				conference#has_tracks -> conference#Track, conference#has_a_commtitee -> conference#Committee, conference#was_a_committee_of -> conference#Committee	edas#hasCountry -> edas#Country, edas#hasRelatedDocument -> edas#Document, edas#relatesTo -> edas#Document	conference#has_a_location -> conference#string	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.401
ekaw#Conference	iasted#Conference_hall	FALSE	FALSE	FALSE	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	iasted#Conference_hall -> iasted#Place			ekaw#partOfEvent -> ekaw#Conference_Session	iasted#is_situated_in -> iasted#Conference_building, iasted#speak_in -> iasted#Plenary_lecture_speaker, iasted#speak_in -> iasted#Tutorial_speaker			1.401
cmt#Meta-Reviewer	ekaw#Possible_Reviewer	FALSE	FALSE	FALSE	cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#User -> cmt#Person	ekaw#Possible_Reviewer -> ekaw#Person			cmt#readByMeta-Reviewer -> cmt#Paper	ekaw#hasReviewer -> ekaw#Paper, ekaw#reviewerOfPaper -> ekaw#Paper, ekaw#reviewWrittenBy -> ekaw#Review			1.397
cmt#Co-author	confOf#Author	FALSE	FALSE	FALSE	cmt#Co-author -> cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Co-author -> cmt#Author -> cmt#User -> cmt#Person	confOf#Author -> confOf#Person			cmt#co-writePaper -> cmt#Paper, cmt#hasCo-author -> cmt#Paper	confOf#writes -> confOf#Contribution, confOf#writtenBy -> confOf#Contribution			1.397
cmt#Review	conference#Reviewer	FALSE	FALSE	FALSE	cmt#Review -> cmt#Document	conference#Reviewer -> conference#Person			cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer	conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise			1.397
conference#Conference_volume	ekaw#Conference_Session	FALSE	FALSE	FALSE	conference#Conference_volume -> conference#Conference	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event			conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part, conference#is_submitted_at -> conference#Conference_contribution, conference#has_contributions -> conference#Conference_contribution, conference#has_a_commtitee -> conference#Committee, conference#was_a_committee_of -> conference#Committee	ekaw#partOfEvent -> ekaw#Conference	conference#has_a_location -> conference#string		1.392
iasted#Nonauthor_registration_fee	sigkdd#Registration_fee	FALSE	FALSE	FALSE	iasted#Nonauthor_registration_fee -> iasted#Registration_fee -> iasted#Fee -> iasted#Money	sigkdd#Registration_fee -> sigkdd#Fee			iasted#is_designed_for -> iasted#Non_speaker	sigkdd#payed_by -> sigkdd#Person, sigkdd#pay -> sigkdd#Person		sigkdd#Currency -> sigkdd#string, sigkdd#Price -> sigkdd#int	1.39
conference#Reviewer	iasted#Review	FALSE	FALSE	FALSE	conference#Reviewer -> conference#Person	iasted#Review -> iasted#Document -> iasted#Item			conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise, conference#belongs_to_reviewers -> conference#Review_preference, conference#has_a_review_reference_or_expertise -> conference#Review_preference	iasted#is_writen_by -> iasted#Reviewer			1.388
ekaw#Conference	iasted#Conference_building	FALSE	FALSE	FALSE	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	iasted#Conference_building -> iasted#Building -> iasted#Place			ekaw#partOfEvent -> ekaw#Conference_Session	iasted#is_situated_in -> iasted#Conference_hall, iasted#is_situated_in -> iasted#Session_room, iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Conference_city, iasted#is_occupied_by -> iasted#Delegate			1.388
cmt#ConferenceMember	ekaw#Conference_Participant	FALSE	FALSE	FALSE	cmt#ConferenceMember -> cmt#Person	ekaw#Conference_Participant -> ekaw#Person	cmt#ProgramCommitteeMember, cmt#ConferenceChair, cmt#AssociatedChair	ekaw#PC_Chair, ekaw#Session_Chair, ekaw#OC_Member, ekaw#Workshop_Chair, ekaw#Demo_Chair	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	ekaw#writtenBy -> ekaw#Camera_Ready_Paper			1.388
cmt#ConferenceMember	conference#Active_conference_participant	FALSE	FALSE	FALSE	cmt#ConferenceMember -> cmt#Person	conference#Active_conference_participant -> conference#Conference_contributor -> conference#Person, conference#Active_conference_participant -> conference#Conference_participant -> conference#Person			cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	conference#gives_presentations -> conference#Presentation, conference#is_given_by -> conference#Presentation			1.388
confOf#Participant	edas#Attendee	TRUE	TRUE	TRUE	confOf#Participant -> confOf#Person	edas#Attendee -> edas#Person					confOf#earlyRegistration -> confOf#boolean		1.388
conference#Conference_volume	iasted#Conference_city	FALSE	FALSE	FALSE	conference#Conference_volume -> conference#Conference	iasted#Conference_city -> iasted#City			conference#has_parts -> conference#Conference_part, conference#is_part_of_conference_volumes -> conference#Conference_part	iasted#is_situated_in -> iasted#Conference_building, iasted#is_situated_in -> iasted#Conference_hotel, iasted#is_situated_in -> iasted#Conference_restaurant	conference#has_a_location -> conference#string		1.387
ekaw#Conference_Session	iasted#Conference_hall	FALSE	FALSE	FALSE	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	iasted#Conference_hall -> iasted#Place			ekaw#partOfEvent -> ekaw#Conference	iasted#is_situated_in -> iasted#Conference_building, iasted#speak_in -> iasted#Plenary_lecture_speaker, iasted#speak_in -> iasted#Tutorial_speaker			1.386
iasted#Deadline_for_notification_of_acceptance	sigkdd#Deadline_Author_notification	TRUE	TRUE	TRUE	iasted#Deadline_for_notification_of_acceptance -> iasted#Deadline -> iasted#Time	sigkdd#Deadline_Author_notification -> sigkdd#Deadline			iasted#is_sent_after -> iasted#Author_information_form	sigkdd#notification_until -> sigkdd#Author			1.385
cmt#ConferenceMember	conference#Conference_participant	FALSE	FALSE	FALSE	cmt#ConferenceMember -> cmt#Person	conference#Conference_participant -> conference#Person	cmt#ConferenceChair, cmt#ProgramCommitteeMember, cmt#AssociatedChair	conference#Active_conference_participant, conference#Passive_conference_participant					1.384
edas#PublishedPaper	ekaw#Submitted_Paper	FALSE	FALSE	FALSE	edas#PublishedPaper -> edas#Paper -> edas#Document	ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document							1.381
cmt#ExternalReviewer	conference#Reviewer	FALSE	FALSE	FALSE	cmt#ExternalReviewer -> cmt#Person	conference#Reviewer -> conference#Person			cmt#assignedByReviewer -> cmt#Reviewer, cmt#assignExternalReviewer -> cmt#Reviewer	conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise			1.381
