Activity	activité	Activité
is_prepared_by	est préparé par
is_present	est présent à l'heure	est présent
is_present_in	est présent à l'heure ou l'espace	est présent à
is_sent_after	est envoyé après
is_sent_before	est envoyé avant
is_sent_by	est envoyé pour	est envoyé par
is_signed_by	est signé par
is_situated_in	est localement situé dans	est situé dans
is_used_by	est utilisée par	est utilisé par
is_used_for	est utilisé pour
is_visited_by	est visité par
is_writen_by	est écrit par
need	a besoin de
obtain	obtient
occupy	occupe (réside)	occupe
pay	paie
prepare	prépare
send	envoie
sign	signe
speak_in	parle à l'heure	parle à
write	écrit
done_till	être fait jusqu'à	est fait jusqu'à
has_amount_of	a quantité de
is_dated_on	est daté sur	est daté du
