Activity	Aktivität
One_day_presenter	Vortragender, der nur an einem Tag redet
Session_chair	Sitzungsvorsitz
Speaker	Redner
Author	Autor
Author_book_proceedings_included	Autor, der einen Tagungsband in Buchform erhält
Author_cd_proceedings_included	Autor, der einen Tagungsband als CD erhält
Lecturer	Vortragender
Student_lecturer	studentischer Vortragender
Worker_lecturer	angestellter Vortragender
Plenary_lecture_speaker	Vortragender, der im Plenum redet
Tutorial_speaker	Vortragender, der ein Tutorium hält
Reviewer	Gutachter
Technical_commitee	technisches Komitee
Sponsor	Sponsor
Place	Örtlichkeit
Building	Gebäude
Conference_airport	Flughafen in/am Konferenzort
Conference_building	Konferenzgebäude
Conference_hotel	Konferenzhotel
Conference_restaurant	Konferenzrestaurant
Presenter_house	Haus eines Vortragenden
Presenter_university	Universität eines Vortragenden
Sponsor_company_house	Haus einer Firma, die ein Sponsor ist
Conference_hall	Konferenz-Halle
Hotel_room	Hotelzimmer
Double_hotel_room	Doppelzimmer
Single_hotel_room	Einzelzimmer
Main_office	Hauptbüro
Session_room	Sitzungsraum
State	Staat
Conference_state	Staat der Konferenz
Presenter_state	Staat des Vortragenden
Sponsor_state	Staat des Sponzors
Time	Zeit (Zeitraum und Zeitpunkt)
Conference_days	Konferenztage
One_conference_day	einzelner Konferenztag
Deadline	Frist
Camera_ready_manuscript_deadline	CameraReady-Frist
Deadline_for_notification_of_acceptance	Frist zur Benachrichtigung der Akzeptanz
Deadline_hotel_reservation	Frist zur Hotelreservierung
Registation_deadline	Registrierungsfrist
Submissions_deadline	Einreichungsfrist
Trip_day	Ausflugstag
Time_zone	Zeitzone
give	gibt
go_through	durchgeht
is_connected_with	ist verbunden mit/bezogen auf
is_designed_for	ist entworfen/bestimmt für
is_equipped_by	ist ausgestattet mit
is_given_by	wird gegeben/ausgeführt von 
is_given_to	wirdGegebenAn
is_held_after	findet statt nach
is_held_before	findet statt vor
is_held_in	findet statt in
is_made_from	ist gemacht aus
is_needed_for	wird benötigt für
is_occupied_by	wird bewohnt von
is_paid_by	wird bezahlt von
is_paid_for	wird bezahlt für
is_paid_in	wird bezahlt in
is_paid_with	wird bezahlt mit
is_prepared_by	wird vorbereitet von
is_present	istAnwesend (räumlich)
is_present_in	istAnwesend (räumlich und zeitlich)
is_sent_after	wird versendet nach
is_sent_before	wird versendet vor
is_sent_by	wird versendet von
is_signed_by	wird unterzeichnet von
is_situated_in	befindet sich in
is_used_by	wird verwendet von
is_used_for	wird verwendet für
is_visited_by	wird besucht von
is_writen_by	ist geschrieben von
need	benötigt
obtain	erhält
occupy	bewohnt
pay	bezahlt
prepare	bereitet vor
send	sendet
sign	unterzeichnet
speak_in	spricht in (räumlich und zeitlich)
write	schreibt
done_till	muss erledigt sein bis
has_amount_of	hat Betrag von
is_dated_on	ist datiert auf
